arquivo,similaridade,gabarito
IMG_3123.JPG,0.122100,nao_esta
IMG_3064.JPG,0.121800,nao_esta
IMG_3213.JPG,0.121700,nao_esta
IMG_3013.JPG,0.120500,nao_esta
IMG_3126.JPG,0.120200,nao_esta
IMG_3155.JPG,0.119600,nao_esta
IMG_3141.JPG,0.119300,nao_esta
IMG_3183.JPG,0.118400,nao_esta
IMG_3149.JPG,0.118200,nao_esta
IMG_3018.JPG,0.118100,nao_esta
IMG_3199.JPG,0.117200,nao_esta
IMG_3053.JPG,0.116800,nao_esta
IMG_3592.JPG,0.116700,nao_esta
IMG_3040.JPG,0.116500,nao_esta
IMG_3586.JPG,0.115600,nao_esta
IMG_3549.JPG,0.115400,nao_esta
IMG_3156.JPG,0.114700,nao_esta
IMG_3025.JPG,0.114300,nao_esta
IMG_3130.JPG,0.114100,nao_esta
IMG_3125.JPG,0.112800,nao_esta
IMG_3154.JPG,0.112500,nao_esta
IMG_3065.JPG,0.112400,nao_esta
IMG_3085.JPG,0.112000,nao_esta
IMG_3146.JPG,0.111300,nao_esta
IMG_3196.JPG,0.110800,nao_esta
IMG_3042.JPG,0.110700,nao_esta
IMG_3006.JPG,0.110500,nao_esta
IMG_3143.JPG,0.110400,nao_esta
IMG_3102.JPG,0.110100,nao_esta
IMG_2998.JPG,0.108600,nao_esta
IMG_3737.JPG,0.108400,nao_esta
IMG_3624.JPG,0.108200,nao_esta
IMG_3620.JPG,0.108100,nao_esta
IMG_3019.JPG,0.106600,nao_esta
IMG_3733.JPG,0.106500,nao_esta
IMG_3191.JPG,0.106400,nao_esta
IMG_3584.JPG,0.106300,nao_esta
IMG_3176.JPG,0.105100,nao_esta
IMG_3747.JPG,0.104900,nao_esta
IMG_3142.JPG,0.104700,nao_esta
IMG_3659.JPG,0.104400,nao_esta
IMG_2995.JPG,0.103500,nao_esta
IMG_3105.JPG,0.102500,nao_esta
IMG_3022.JPG,0.102100,nao_esta
IMG_3003.JPG,0.101700,nao_esta
IMG_3054.JPG,0.100300,nao_esta
IMG_3121.JPG,0.100100,nao_esta
IMG_3014.JPG,0.099900,nao_esta
IMG_3135.JPG,0.099700,nao_esta
IMG_3616.JPG,0.099500,nao_esta
IMG_3597.JPG,0.098900,nao_esta
IMG_3134.JPG,0.098300,nao_esta
IMG_3009.JPG,0.097700,nao_esta
IMG_3594.JPG,0.097500,nao_esta
IMG_3088.JPG,0.096700,nao_esta
IMG_3001.JPG,0.096400,nao_esta
IMG_3622.JPG,0.095900,nao_esta
IMG_3615.JPG,0.095500,nao_esta
IMG_3100.JPG,0.095200,nao_esta
IMG_3002.JPG,0.094600,nao_esta
IMG_3755.JPG,0.094100,nao_esta
IMG_3181.JPG,0.093900,nao_esta
IMG_3535.JPG,0.093400,nao_esta
IMG_3138.JPG,0.093000,nao_esta
IMG_3080.JPG,0.092900,nao_esta
IMG_3631.JPG,0.092900,nao_esta
IMG_3099.JPG,0.092200,nao_esta
IMG_3047.JPG,0.091900,nao_esta
IMG_3011.JPG,0.091700,nao_esta
IMG_3591.JPG,0.091600,nao_esta
IMG_3017.JPG,0.091500,nao_esta
IMG_3048.JPG,0.091500,nao_esta
IMG_3221.JPG,0.091500,nao_esta
IMG_3082.JPG,0.091400,nao_esta
IMG_3534.JPG,0.091400,nao_esta
IMG_3004.JPG,0.091000,nao_esta
IMG_3010.JPG,0.090900,nao_esta
IMG_3061.JPG,0.090900,nao_esta
IMG_3553.JPG,0.090400,nao_esta
IMG_3725.JPG,0.090200,nao_esta
IMG_3179.JPG,0.090000,nao_esta
IMG_3632.JPG,0.090000,nao_esta
IMG_3548.JPG,0.089800,nao_esta
IMG_3667.JPG,0.089200,nao_esta
IMG_3675.JPG,0.089100,nao_esta
IMG_3119.JPG,0.088600,nao_esta
IMG_3660.JPG,0.088600,nao_esta
IMG_3132.JPG,0.088400,nao_esta
IMG_3168.JPG,0.088400,nao_esta
IMG_3110.JPG,0.088300,nao_esta
IMG_3137.JPG,0.088000,nao_esta
IMG_3097.JPG,0.087800,nao_esta
IMG_3007.JPG,0.086500,nao_esta
IMG_3158.JPG,0.085600,nao_esta
IMG_3159.JPG,0.085200,nao_esta
IMG_3541.JPG,0.085200,nao_esta
IMG_3599.JPG,0.084400,nao_esta
IMG_3136.JPG,0.084300,nao_esta
IMG_3611.JPG,0.084100,nao_esta
IMG_3623.JPG,0.083500,nao_esta
IMG_3186.JPG,0.083100,nao_esta
IMG_3173.JPG,0.082700,nao_esta
IMG_3108.JPG,0.082600,nao_esta
IMG_3055.JPG,0.082400,nao_esta
IMG_3638.JPG,0.082200,nao_esta
IMG_3016.JPG,0.081800,nao_esta
IMG_3153.JPG,0.081400,nao_esta
IMG_3613.JPG,0.080000,nao_esta
IMG_3748.JPG,0.079300,nao_esta
IMG_3060.JPG,0.079200,nao_esta
IMG_3113.JPG,0.079100,nao_esta
IMG_3190.JPG,0.078700,nao_esta
IMG_3655.JPG,0.078500,nao_esta
